entity_a_id,entity_b_id,cosine_similarity
entity_45,entity_145,0.0352911539375782
entity_45,entity_146,0.0890788659453392
entity_45,entity_148,0.3985542058944702
entity_45,entity_149,0.12650376558303833
entity_45,entity_150,0.11068108677864075
entity_45,entity_151,-0.024412576109170914
entity_45,entity_153,0.4328816533088684
entity_45,entity_154,0.14781752228736877
entity_45,entity_155,0.3218948245048523
entity_45,entity_156,0.17704497277736664
entity_45,entity_157,0.18603435158729553
entity_45,entity_158,0.18641239404678345
entity_45,entity_159,0.22218160331249237
entity_45,entity_160,0.1003628671169281
entity_45,entity_161,0.0537550263106823
entity_45,entity_164,0.9308951497077942
entity_45,entity_165,0.6980810165405273
entity_45,entity_166,0.7168151140213013
entity_45,entity_167,0.6591193675994873
entity_45,entity_168,0.6029602289199829
entity_45,entity_169,0.36803436279296875
entity_45,entity_170,0.434964120388031
entity_45,entity_171,0.38614940643310547
entity_45,entity_173,0.5537842512130737
entity_45,entity_174,0.46638041734695435
entity_45,entity_175,0.5097596049308777
entity_45,entity_176,0.1561783254146576
entity_45,entity_177,0.2019035518169403
entity_45,entity_178,0.13786235451698303
entity_45,entity_179,0.19624312222003937
entity_45,entity_180,0.18627063930034637
entity_45,entity_181,0.19026052951812744
entity_45,entity_182,0.17959316074848175
entity_45,entity_183,0.1995898336172104
entity_45,entity_184,0.11651109158992767
entity_45,entity_186,0.8033260107040405
entity_45,entity_187,0.6832605004310608
entity_45,entity_188,0.7668412923812866
entity_45,entity_189,0.6468510031700134
entity_45,entity_190,0.6335550546646118
entity_45,entity_191,0.5470048189163208
entity_45,entity_192,0.7063589692115784
entity_45,entity_193,0.6434067487716675
entity_45,entity_194,0.6156721115112305
entity_45,entity_195,0.5451791882514954
entity_45,entity_196,0.5254330635070801
entity_45,entity_197,0.5460248589515686
entity_45,entity_198,0.45296600461006165
entity_45,entity_199,0.5141669511795044
entity_45,entity_200,0.3861566483974457
entity_45,entity_201,0.500328779220581
entity_45,entity_202,0.2776139974594116
entity_45,entity_203,0.49185389280319214
entity_45,entity_204,0.540361762046814
entity_45,entity_205,0.6562303304672241
entity_45,entity_244,0.5142226219177246
entity_45,entity_245,0.23766261339187622
entity_45,entity_246,0.22396661341190338
entity_45,entity_247,0.18404442071914673
entity_45,entity_248,0.2369430959224701
entity_45,entity_249,0.2209397256374359
entity_45,entity_250,0.22937142848968506
entity_45,entity_251,0.20096325874328613
entity_45,entity_253,0.588554859161377
entity_45,entity_254,0.2661467492580414
entity_45,entity_256,0.564568817615509
entity_45,entity_257,0.4190676212310791
entity_45,entity_258,0.24580979347229004
entity_45,entity_259,0.2294217348098755
entity_45,entity_260,0.22589807212352753
entity_45,entity_261,0.19522838294506073
entity_45,entity_263,0.5494775176048279
entity_45,entity_264,0.2460043579339981
entity_45,entity_265,0.19267642498016357
entity_45,entity_266,0.20362959802150726
